"Device Name","KD2",,,
"Device Model","DROP_2",,,
"Serial Number","2061168",,,
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Stress Index","Dew Point"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2018-07-10 16:35:00","70.2","55.2","69.6","53.4"
"2018-07-10 16:40:00","70.2","54.7","69.4","53.2"
"2018-07-10 16:45:00","70.2","53.5","69.4","52.6"
"2018-07-10 16:50:00","70.2","53.2","69.4","52.3"
"2018-07-10 16:55:00","70.2","52.1","69.3","51.8"
"2018-07-10 17:00:00","70.2","51.6","69.3","51.5"
"2018-07-10 17:05:00","70.2","50.8","69.3","51.1"
"2018-07-10 17:10:00","70.2","50.3","69.3","50.9"
"2018-07-10 17:15:00","70.2","49.5","69.1","50.5"
"2018-07-10 17:20:00","70.3","49.1","69.1","50.3"
"2018-07-10 17:25:00","70.4","49.1","69.4","50.3"
"2018-07-10 17:30:00","70.4","48.4","69.4","50.1"
"2018-07-10 17:35:00","70.4","47.5","69.3","49.5"
"2018-07-10 17:40:00","70.4","46.6","69.3","49.0"
"2018-07-10 17:45:00","70.4","45.8","69.3","48.5"
"2018-07-10 17:50:00","70.4","45.8","69.3","48.6"
"2018-07-10 17:55:00","70.5","45.8","69.4","48.7"
"2018-07-10 18:00:00","70.6","45.8","69.4","48.7"
"2018-07-10 18:05:00","70.6","45.3","69.4","48.4"
"2018-07-10 18:10:00","70.6","45.1","69.4","48.3"
"2018-07-10 18:15:00","70.7","44.9","69.3","48.3"
"2018-07-10 18:20:00","70.7","44.7","69.6","48.2"
"2018-07-10 18:25:00","70.8","44.9","69.6","48.3"
"2018-07-10 18:30:00","70.8","45.1","69.8","48.5"
"2018-07-10 18:35:00","70.9","45.0","69.6","48.5"
"2018-07-10 18:40:00","70.9","43.8","69.6","47.8"
"2018-07-10 18:45:00","70.9","43.9","69.6","47.8"
"2018-07-10 18:50:00","71.0","44.1","69.6","48.0"
"2018-07-10 18:55:00","71.0","43.8","69.6","47.9"
"2018-07-10 19:00:00","71.0","43.7","69.6","47.8"
"2018-07-10 19:05:00","71.0","43.7","69.6","47.9"
"2018-07-10 19:10:00","71.0","43.3","69.6","47.6"
"2018-07-10 19:15:00","71.1","43.4","69.8","47.7"
"2018-07-10 19:20:00","71.1","43.6","69.8","47.9"
"2018-07-10 19:25:00","71.2","42.2","69.6","47.1"
"2018-07-10 19:30:00","71.2","42.9","69.6","47.5"
"2018-07-10 19:35:00","71.2","42.6","69.6","47.3"
"2018-07-10 19:40:00","71.2","42.4","69.6","47.2"
"2018-07-10 19:45:00","71.3","42.3","69.8","47.2"
"2018-07-10 19:50:00","72.0","46.2","70.9","50.2"
"2018-07-10 19:55:00","71.8","39.1","70.2","45.7"
"2018-07-10 20:00:00","71.5","40.3","69.8","46.1"
"2018-07-10 20:05:00","72.0","39.4","70.2","46.0"
"2018-07-10 20:10:00","71.9","39.2","70.2","45.7"
"2018-07-10 20:15:00","72.2","39.0","70.3","45.8"
"2018-07-10 20:20:00","70.4","41.7","68.9","46.1"
"2018-07-10 20:25:00","70.2","42.0","68.5","46.1"
"2018-07-10 20:30:00","69.3","44.0","67.5","46.4"
"2018-07-10 20:35:00","68.8","45.3","66.7","46.8"
"2018-07-10 20:40:00","68.5","45.9","66.2","46.9"
"2018-07-10 20:45:00","68.3","46.7","66.0","47.2"
"2018-07-10 20:50:00","68.2","47.2","66.0","47.3"
"2018-07-10 20:55:00","68.1","47.7","65.8","47.5"
"2018-07-10 21:00:00","68.0","48.1","65.7","47.6"
"2018-07-10 21:05:00","67.9","48.3","65.7","47.7"
"2018-07-10 21:10:00","67.9","48.5","65.7","47.8"
"2018-07-10 21:15:00","67.8","48.7","65.7","47.8"
"2018-07-10 21:20:00","67.8","48.9","65.5","47.9"
"2018-07-10 21:25:00","67.8","49.0","65.5","48.0"
"2018-07-10 21:30:00","67.7","49.3","65.5","48.0"
"2018-07-10 21:35:00","67.7","49.4","65.5","48.1"
"2018-07-10 21:40:00","67.7","49.5","65.5","48.1"
"2018-07-10 21:45:00","67.8","49.8","65.5","48.4"
"2018-07-10 21:50:00","67.7","50.1","65.7","48.5"
"2018-07-10 21:55:00","67.8","50.4","65.7","48.7"
"2018-07-10 22:00:00","67.7","50.6","65.7","48.7"
"2018-07-10 22:05:00","67.7","50.6","65.7","48.8"
"2018-07-10 22:10:00","67.7","50.7","65.7","48.8"
"2018-07-10 22:15:00","67.7","50.8","65.7","48.8"
"2018-07-10 22:20:00","67.7","50.8","65.7","48.9"
"2018-07-10 22:25:00","67.7","50.8","65.7","48.8"
"2018-07-10 22:30:00","67.7","50.9","65.7","48.9"
"2018-07-10 22:35:00","67.6","51.0","65.5","48.9"
"2018-07-10 22:40:00","67.7","51.1","65.7","49.0"
"2018-07-10 22:45:00","67.6","51.1","65.5","48.9"
"2018-07-10 22:50:00","67.6","51.2","65.5","49.0"
"2018-07-10 22:55:00","67.6","51.2","65.5","49.0"
"2018-07-10 23:00:00","67.6","51.3","65.5","49.0"
"2018-07-10 23:05:00","67.6","51.2","65.5","49.0"
"2018-07-10 23:10:00","67.6","51.3","65.5","49.0"
"2018-07-10 23:15:00","67.6","51.3","65.5","49.0"
"2018-07-10 23:20:00","67.6","51.3","65.5","49.0"
"2018-07-10 23:25:00","67.6","51.4","65.5","49.1"
"2018-07-10 23:30:00","67.6","51.3","65.5","49.0"
"2018-07-10 23:35:00","67.6","51.3","65.5","49.0"
"2018-07-10 23:40:00","67.6","51.5","65.5","49.1"
"2018-07-10 23:45:00","67.6","51.5","65.5","49.1"
"2018-07-10 23:50:00","67.6","51.5","65.5","49.1"
"2018-07-10 23:55:00","67.6","51.4","65.5","49.0"
"2018-07-11 00:00:00","67.6","51.5","65.5","49.0"
"2018-07-11 00:05:00","67.6","51.4","65.5","49.0"
"2018-07-11 00:10:00","67.6","51.4","65.5","49.0"
"2018-07-11 00:15:00","67.6","51.5","65.5","49.1"
"2018-07-11 00:20:00","67.6","51.3","65.5","49.0"
"2018-07-11 00:25:00","67.5","51.5","65.5","49.0"
"2018-07-11 00:30:00","67.6","51.5","65.5","49.1"
"2018-07-11 00:35:00","67.6","51.4","65.5","49.0"
"2018-07-11 00:40:00","67.6","51.5","65.5","49.1"
"2018-07-11 00:45:00","67.6","51.6","65.5","49.1"
"2018-07-11 00:50:00","67.5","51.5","65.5","49.0"
"2018-07-11 00:55:00","67.6","51.5","65.5","49.1"
"2018-07-11 01:00:00","67.6","51.7","65.5","49.2"
"2018-07-11 01:05:00","67.5","51.5","65.5","49.0"
"2018-07-11 01:10:00","67.5","51.6","65.5","49.1"
"2018-07-11 01:15:00","67.6","51.6","65.5","49.1"
"2018-07-11 01:20:00","67.5","51.5","65.5","49.0"
"2018-07-11 01:25:00","67.5","51.5","65.5","49.0"
"2018-07-11 01:30:00","67.5","51.6","65.5","49.1"
"2018-07-11 01:35:00","67.5","51.7","65.5","49.1"
"2018-07-11 01:40:00","67.5","51.9","65.5","49.2"
"2018-07-11 01:45:00","67.5","51.9","65.5","49.2"
"2018-07-11 01:50:00","67.5","52.0","65.5","49.2"
"2018-07-11 01:55:00","67.5","52.0","65.5","49.3"
"2018-07-11 02:00:00","67.5","52.0","65.5","49.2"
"2018-07-11 02:05:00","67.5","52.0","65.5","49.2"
"2018-07-11 02:10:00","67.5","52.0","65.5","49.2"
"2018-07-11 02:15:00","67.4","52.1","65.1","49.2"
"2018-07-11 02:20:00","67.4","52.0","65.1","49.2"
"2018-07-11 02:25:00","67.4","52.1","65.1","49.2"
"2018-07-11 02:30:00","67.4","52.1","65.1","49.2"
"2018-07-11 02:35:00","67.4","52.1","65.1","49.2"
"2018-07-11 02:40:00","67.4","52.1","65.1","49.2"
